employee_code,employee_name ,department,date_of_birth,date_of_joining
EM2,Gary Riley,Marketing,08-02-1970,08-02-1999
EM3,Edward Siu,Marketing,15-06-1975,15-06-1998
EM4,Betty Simons,Marketing,24-12-1980,24-12-2000
EM4,Frances Lieberman,Accounting,21-11-1971,21-11-1999
EM5,Jason Gregson,Accounting,22-01-1977,22-01-2001
EM6,Liam,Accounting,24-02-1975,24-02-1998
EM7,Oliver,Accounting,30-10-1985,30-10-1999
EM8,William,Accounting,26-05-1974,26-05-2002
EM9,James,Accounting,23-12-1984,23-12-1999
EM10,Benjamin,Purchasing,19-06-1984,19-06-1996
EM11,Elijah,Purchasing,09-11-1989,09-11-2000
EM12,Lucas,Purchasing,09-12-1990,09-12-2001
EM13,Mason,Purchasing,08-10-1988,08-10-2002
EM14,Ethan,Purchasing,07-09-1987,07-09-2009
EM15,Alexander,Marketing,26-04-1990,26-04-2010
EM16,Henry,Marketing,28-09-1989,28-09-2009
EM17,Jacob,Accounting,30-08-1987,30-08-2012
EM18,Michael,Purchasing,28-07-1991,28-07-1999
EM19,Daniel,Accounting,28-07-1987,28-07-1998
EM20,Logan,Purchasing,26-12-1990,26-12-2015
